incident_id,year,month,day_of_week,season,time_of_day,country,area_type,population_density_per_sqkm,crime_type,crime_severity_score,victim_count,victim_gender,victim_age_group,injuries_reported,fatalities,financial_loss_usd,weapon_used,suspect_status,case_status,reporting_method,response_time_minutes,officers_assigned,investigation_duration_days,repeat_offender,gang_related,drug_related,cctv_coverage,lighting_condition,prior_incidents_same_location,safety_index,crime_resolved
CRM0000001,2022,7,Wednesday,Winter,Afternoon (12pm-6pm),Germany,Remote,16,Vandalism,2.7,3,Female,65+,0,0,114.41,Firearm,Arrested,Closed - Unsolved,Emergency Call,23.5,2,46,No,No,No,No Coverage,Poorly Lit,3,62.8,No
CRM0000002,2024,4,Sunday,Autumn,Night (10pm-2am),Pakistan,Rural,252,Fraud,3.5,1,Female,26-35,0,0,19729.14,Knife,Arrested,Closed - Solved,Police Station,31.8,2,115,No,Yes,No,Partial Coverage,Partially Lit,1,50.7,No
CRM0000003,2023,2,Tuesday,Spring,Afternoon (12pm-6pm),USA,Rural,136,Assault,5.7,1,Female,18-25,1,0,134.53,Firearm,Acquitted,Closed - Solved,Anonymous Tip,72.4,1,56,Yes,No,No,No Coverage,Well Lit,0,61.3,Yes
CRM0000004,2023,5,Saturday,Autumn,Evening (6pm-10pm),India,Rural,354,Robbery,7.0,1,Male,18-25,3,0,149.66,Unknown,Under Investigation,Open - Active,Emergency Call,71.6,4,44,Yes,Yes,No,Partial Coverage,Partially Lit,6,51.7,Yes
CRM0000005,2021,11,Saturday,Spring,Afternoon (12pm-6pm),Mexico,Urban,817,Burglary,4.6,1,Male,65+,0,0,5397.57,None,Under Investigation,Open - Cold Case,Police Station,31.5,5,111,No,Unknown,Yes,Partial Coverage,Partially Lit,2,52.0,No
CRM0000006,2021,11,Tuesday,Winter,Morning (6am-12pm),Australia,Remote,17,Theft,2.5,2,Female,36-45,0,0,321.12,None,Under Investigation,Open - Cold Case,Online Portal,71.1,3,31,Unknown,No,No,Full Coverage,Well Lit,3,68.2,No
CRM0000007,2020,3,Saturday,Summer,Night (10pm-2am),Indonesia,Remote,24,Cybercrime,3.2,1,Female,65+,0,0,660.68,Vehicle,Arrested,Open - Active,Police Station,83.8,3,48,No,Yes,No,Full Coverage,Partially Lit,4,56.9,No
CRM0000008,2024,9,Sunday,Winter,Night (10pm-2am),Pakistan,Suburban,990,Theft,4.6,1,Female,18-25,0,0,808.52,Vehicle,Arrested,Open - Active,Emergency Call,47.9,6,20,No,No,Yes,No Coverage,Well Lit,2,59.3,No
CRM0000009,2023,6,Monday,Spring,Afternoon (12pm-6pm),Brazil,Suburban,205,Murder,8.6,1,Female,26-35,2,1,4335.77,None,Unknown,Closed - Solved,Police Station,71.0,2,33,Unknown,Yes,No,No Coverage,Partially Lit,2,32.5,No
CRM0000010,2023,1,Saturday,Winter,Morning (6am-12pm),Pakistan,Urban,3084,Fraud,4.2,2,Female,26-35,0,0,3428.6,None,Arrested,Open - Cold Case,Emergency Call,46.0,1,21,Yes,No,No,No Coverage,Poorly Lit,3,34.0,Yes
